TargetGene	gene_chr	gene_tss	gene_tss500bp	is_ubiquitous_uniform	P2PromoterClass
Sema4c	chr1	36597180	36597680	False	False
Fam178b	chr1	36722014	36722514	False	False
Cox5b	chr1	36730315	36730815	False	True
Actr1b	chr1	36753253	36753753	True	False
4933424G06Rik	chr1	36753369	36753869	False	False
Zap70	chr1	36800629	36801129	False	True
Tmem131	chr1	36978653	36979153	True	True
Vwa3b	chr1	37068164	37068664	False	True
Cnga3	chr1	37257210	37257710	False	False
Inpp4a	chr1	37338722	37339222	False	False
Coa5	chr1	37468934	37469434	True	True
Unc50	chr1	37469001	37469501	True	True
Mgat4a	chr1	37579847	37580347	False	False
Cracdl	chr1	37758916	37759416	False	False
Tsga10	chr1	37903910	37904410	False	True
Lipt1	chr1	37911037	37911537	True	True
Mitd1	chr1	37929238	37929738	True	True
Mrpl30	chr1	37929308	37929808	True	True
Lyg2	chr1	37955324	37955824	False	False
Lyg1	chr1	37996590	37997090	False	False
Txndc9	chr1	38036146	38036646	True	True
Eif5b	chr1	38036841	38037341	False	True
Rev1	chr1	38168493	38168993	False	False
Aff3	chr1	38703786	38704286	False	False
Lonrf2	chr1	38875542	38876042	False	False
Chst10	chr1	38936992	38937492	False	False
Nms	chr1	38977980	38978480	False	False
Pdcl3	chr1	39024439	39024939	False	False
Npas2	chr1	39233043	39233543	False	False
Rpl31	chr1	39406673	39407173	False	False
Tbc1d8	chr1	39517586	39518086	False	True
Cnot11	chr1	39573823	39574323	False	True
Rnf149	chr1	39616236	39616736	False	False
Creg2	chr1	39690392	39690892	False	False
Rfx8	chr1	39759907	39760407	False	False
Map4k4	chr1	39939823	39940323	False	False
Il1r2	chr1	40123608	40124108	False	True
Il1r1	chr1	40263990	40264490	False	True
Il1rl2	chr1	40363600	40364100	False	False
Il1rl1	chr1	40478537	40479037	False	True
Il18r1	chr1	40504462	40504962	False	False
Il18rap	chr1	40554272	40554772	False	True
Slc9a4	chr1	40619114	40619614	False	False
Slc9a2	chr1	40719484	40719984	False	False
Mfsd9	chr1	40829597	40830097	False	True
Tmem182	chr1	40844511	40845011	False	True
Pou3f3	chr1	42733835	42734335	False	False
Mrps9	chr1	42890143	42890643	True	True
Gpr45	chr1	42991873	42992373	False	False
Tgfbrap1	chr1	43137518	43138018	False	False
AI597479	chr1	43137620	43138120	True	True
Fhl2	chr1	43235894	43236394	False	True
Nck2	chr1	43484661	43485161	False	True
Ecrg4	chr1	43769512	43770012	False	False
Uxs1	chr1	43866710	43867210	False	False
Tpp2	chr1	43972925	43973425	True	True
Mettl21c	chr1	44058916	44059416	False	False
Ccdc168	chr1	44118656	44119156	False	False
Tex30	chr1	44141348	44141848	False	True
Poglut2	chr1	44157718	44158218	False	False
Bivm	chr1	44158072	44158572	False	False
Ercc5	chr1	44186757	44187257	True	True
Mettl21e	chr1	44257871	44258371	False	False
Gulp1	chr1	44590421	44590921	False	True
Col3a1	chr1	45350448	45350948	False	False
Col5a2	chr1	45542192	45542692	False	False
Wdr75	chr1	45834076	45834576	True	True
Slc40a1	chr1	45964492	45964992	False	False
Dnah7b	chr1	46105763	46106263	False	False
Dnah7c	chr1	46464502	46465002	False	False
Slc39a10	chr1	46931762	46932262	False	True
Tmeff2	chr1	50948871	50949371	False	False
Cavin2	chr1	51328035	51328535	False	True
Nabp1	chr1	51517308	51517808	False	False
Myo1b	chr1	51946225	51946725	False	False
Stat4	chr1	52026057	52026557	False	False
Stat1	chr1	52158399	52158899	False	True
Gls	chr1	52272132	52272632	False	False
Nab1	chr1	52539588	52540088	False	True
Nemp2	chr1	52669612	52670112	False	True
Mfsd6	chr1	52766371	52766871	False	False
Inpp1	chr1	52856597	52857097	False	False
Hibch	chr1	52883922	52884422	True	False
1700019D03Rik	chr1	53059088	53059588	False	True
Mstn	chr1	53100549	53101049	False	False
1700019A02Rik	chr1	53226545	53227045	False	False
Pms1	chr1	53335927	53336427	True	False
Ormdl1	chr1	53336004	53336504	True	True
Gm28778	chr1	53336020	53336520	False	False
Osgepl1	chr1	53352533	53353033	False	True
Asdurf	chr1	53391528	53392028	False	False
Gm28551	chr1	53391576	53392076	False	False
Asnsd1	chr1	53391661	53392161	True	True
Dnah7a	chr1	53745670	53746170	False	True
Stk17b	chr1	53824133	53824633	False	False
Hecw2	chr1	54232957	54233457	False	False
Ccdc150	chr1	54289592	54290092	False	True
Gtf3c3	chr1	54477880	54478380	False	True
Gm34066	chr1	54495672	54496172	False	False
Pgap1	chr1	54596591	54597091	False	False
Ankrd44	chr1	54965296	54965796	False	False
Sf3b1	chr1	55066390	55066890	True	True
Coq10b	chr1	55091679	55092179	False	True
Hspd1	chr1	55126933	55127433	False	True
Hspe1	chr1	55127041	55127541	False	False
Mob4	chr1	55170140	55170640	False	False
Rftn2	chr1	55265691	55266191	False	False
Mars2	chr1	55276086	55276586	True	True
Boll	chr1	55399650	55400150	False	False
Plcl1	chr1	55444830	55445330	False	False
Hsfy2	chr1	56676344	56676844	False	False
Satb2	chr1	57011411	57011911	False	True
1700066M21Rik	chr1	57416529	57417029	True	True
Maip1	chr1	57445237	57445737	False	False
Tyw5	chr1	57446010	57446510	False	True
Spats2l	chr1	57813770	57814270	True	False
Sgo2a	chr1	58034880	58035380	False	False
Kctd18	chr1	58057865	58058365	False	False
Aox1	chr1	58068840	58069340	False	False
Aox3	chr1	58152045	58152545	False	False
Aox4	chr1	58249306	58249806	False	False
Aox2	chr1	58317235	58317735	False	False
Bzw1	chr1	58431807	58432307	False	True
Clk1	chr1	58462975	58463475	False	True
Nif3l1	chr1	58484176	58484676	True	True
Ppil3	chr1	58484395	58484895	False	True
Orc2	chr1	58544018	58544518	True	False
Hycc2	chr1	58625232	58625732	False	True
Ndufb3	chr1	58625293	58625793	True	True
Flacc1	chr1	58734898	58735398	False	False
Cflar	chr1	58750425	58750925	False	True
Casp8	chr1	58834283	58834783	False	True
Trak2	chr1	58960606	58961106	False	True
Stradb	chr1	59012431	59012931	False	True
C2cd6	chr1	59133802	59134302	False	False
Tmem237	chr1	59159003	59159503	False	True
Mpp4	chr1	59202298	59202798	False	False
Als2	chr1	59276135	59276635	False	True
Cdk15	chr1	59295815	59296315	False	False
Fzd7	chr1	59521333	59521833	False	False
Gm973	chr1	59555173	59555673	False	False
Sumo1	chr1	59709701	59710201	True	True
Nop58	chr1	59723918	59724418	False	True
Bmpr2	chr1	59802309	59802809	True	False
Fam117b	chr1	59951915	59952415	False	False
Ica1l	chr1	60082031	60082531	False	False
Wdr12	chr1	60136817	60137317	True	True
Carf	chr1	60137156	60137656	False	True
Nbeal1	chr1	60219508	60220008	False	True
Cyp20a1	chr1	60382232	60382732	False	False
Abi2	chr1	60448643	60449143	True	True
Raph1	chr1	60605688	60606188	False	False
Cd28	chr1	60755709	60756209	False	False
Ctla4	chr1	60925909	60926409	False	False
Icos	chr1	61016836	61017336	False	False
Pard3b	chr1	61677733	61678233	False	False
Nrp2	chr1	62742194	62742694	False	False
Ino80d	chr1	63130838	63131338	False	True
Ndufs1	chr1	63215572	63216072	True	True
Eef1b2	chr1	63215734	63216234	True	True
Cmklr2	chr1	63253452	63253952	False	False
Zdbf2	chr1	63312174	63312674	False	False
Adam23	chr1	63484804	63485304	False	False
Fam237a	chr1	63654877	63655377	False	False
Dytn	chr1	63725836	63726336	False	False
Mdh1b	chr1	63769227	63769727	False	True
Fastkd2	chr1	63769523	63770023	True	True
Klf7	chr1	64160400	64160900	False	False
Creb1	chr1	64571728	64572228	False	False
Mettl21a	chr1	64654540	64655040	False	True
Ccnyl1	chr1	64729364	64729864	False	False
Fzd5	chr1	64776660	64777160	False	False
Plekhm3	chr1	64995733	64996233	False	True
Akr1cl	chr1	65071668	65072168	False	False
Cryge	chr1	65090058	65090558	False	False
Crygd	chr1	65102361	65102861	False	False
Crygc	chr1	65112598	65113098	False	False
Crygb	chr1	65121197	65121697	False	False
Cryga	chr1	65142282	65142782	False	False
Gm28845	chr1	65158467	65158967	False	False
D630023F18Rik	chr1	65162123	65162623	False	False
Idh1	chr1	65218090	65218590	False	False
Pikfyve	chr1	65225611	65226111	False	False
Pth2r	chr1	65350166	65350666	False	False
Crygf	chr1	65965429	65965929	False	False
Map2	chr1	66214225	66214725	False	False
Unc80	chr1	66507276	66507776	False	False
Rpe	chr1	66739740	66740240	False	True
Kansl1l	chr1	66856455	66856955	False	False
Acadl	chr1	66902186	66902686	False	False
Myl1	chr1	66984052	66984552	False	False
Lancl1	chr1	67077781	67078281	False	False
Cps1	chr1	67161935	67162435	False	False
Erbb4	chr1	69146968	69147468	False	False
Ikzf2	chr1	69726154	69726654	False	False
Spag16	chr1	69865897	69866397	False	False
Vwc2l	chr1	70764832	70765332	False	False
Bard1	chr1	71142055	71142555	False	False
Abca12	chr1	71453819	71454319	False	False
Atic	chr1	71596059	71596559	True	False
Fn1	chr1	71692109	71692609	False	False
Mreg	chr1	72251216	72251716	False	False
Pecr	chr1	72323223	72323723	False	False
Tmem169	chr1	72323278	72323778	False	False
Xrcc5	chr1	72346336	72346836	True	True
Marchf4	chr1	72575839	72576339	False	False
Smarcal1	chr1	72622160	72622660	True	True
Ankar	chr1	72739488	72739988	False	False
Rpl37a	chr1	72750199	72750699	True	True
Igfbp2	chr1	72863412	72863912	False	False
Igfbp5	chr1	72913793	72914293	False	False
Tnp1	chr1	73054818	73055318	False	False
Tns1	chr1	74135777	74136277	False	False
Rufy4	chr1	74164450	74164950	False	False
Cxcr2	chr1	74192900	74193400	False	False
Cxcr1	chr1	74233540	74234040	False	False
Arpc2	chr1	74274993	74275493	True	True
Gpbar1	chr1	74317459	74317959	False	True
Aamp	chr1	74323647	74324147	False	True
Pnkd	chr1	74323954	74324454	False	True
Tmbim1	chr1	74343314	74343814	False	False
Catip	chr1	74401017	74401517	False	False
Slc11a1	chr1	74414104	74414604	False	False
Ctdsp1	chr1	74430418	74430918	True	True
Vil1	chr1	74448285	74448785	False	False
Cnot9	chr1	74544967	74545467	False	True
Plcd4	chr1	74581797	74582297	False	False
Usp37	chr1	74583193	74583693	True	True
Zfp142	chr1	74626937	74627437	True	True
Bcs1l	chr1	74627209	74627709	True	True
Rnf25	chr1	74640306	74640806	True	True
Stk36	chr1	74640354	74640854	False	True
Ttll4	chr1	74700726	74701226	False	True
Cyp27a1	chr1	74752483	74752983	False	False
Prkag3	chr1	74787864	74788364	False	False
Wnt6	chr1	74810801	74811301	False	False
Wnt10a	chr1	74830425	74830925	False	False
Cdk5r2	chr1	74893843	74894343	False	False
Fev	chr1	74924328	74924828	False	False
Cryba2	chr1	74932052	74932552	False	False
Cfap65	chr1	74974508	74975008	False	False
Ihh	chr1	74990581	74991081	False	False
Nhej1	chr1	75101594	75102094	True	False
Slc23a3	chr1	75110284	75110784	False	False
Cnppd1	chr1	75119032	75119532	True	True
Retreg2	chr1	75119172	75119672	True	True
Zfand2b	chr1	75145040	75145540	True	True
Abcb6	chr1	75156786	75157286	False	False
Ankzf1	chr1	75168554	75169054	True	False
Atg9a	chr1	75168590	75169090	True	False
Glb1l	chr1	75187172	75187672	False	True
Stk16	chr1	75187232	75187732	True	True
Tuba4a	chr1	75195282	75195782	False	False
A630095N17Rik	chr1	75208484	75208984	False	False
Dnajb2	chr1	75212800	75213300	False	False
Ptprn	chr1	75240607	75241107	False	False
Resp18	chr1	75254809	75255309	False	False
Dnpep	chr1	75294053	75294553	True	True
Des	chr1	75336723	75337223	False	False
Speg	chr1	75362004	75362504	False	False
Gmppa	chr1	75412324	75412824	True	True
Asic4	chr1	75426830	75427330	False	False
Chpf	chr1	75455701	75456201	False	True
Tmem198	chr1	75455926	75456426	False	True
Obsl1	chr1	75482755	75483255	False	False
Inha	chr1	75483471	75483971	False	False
Stk11ip	chr1	75497923	75498423	False	True
Slc4a3	chr1	75522660	75523160	False	False
Epha4	chr1	77491466	77491966	False	False
Pax3	chr1	78173521	78174021	False	False
Sgpp2	chr1	78286732	78287232	False	False
Farsb	chr1	78465246	78465746	True	True
Mogat1	chr1	78487556	78488056	False	False
BC035947	chr1	78488545	78489045	False	False
Acsl3	chr1	78635292	78635792	True	False
Utp14b	chr1	78635505	78636005	False	False
Kcne4	chr1	78794225	78794725	False	False
Scg2	chr1	79417587	79418087	False	False
Ap1s3	chr1	79649439	79649939	False	False
Wdfy1	chr1	79739236	79739736	True	True
Mrpl44	chr1	79753485	79753985	True	True
Serpine2	chr1	79836163	79836663	False	True
Fam124b	chr1	80195940	80196440	False	True
Cul3	chr1	80254908	80255408	False	False
Gm45261	chr1	80438915	80439415	False	False
Dock10	chr1	80642742	80643242	False	False
Nyap2	chr1	81055050	81055550	False	False
Irs1	chr1	82268887	82269387	False	False
Rhbdd1	chr1	82293923	82294423	True	False
Col4a4	chr1	82564320	82564820	False	False
Col4a3	chr1	82564447	82564947	False	False
Mff	chr1	82702361	82702861	True	True
Tm4sf20	chr1	82745932	82746432	False	False
Gm47791	chr1	82748714	82749214	False	False
Agfg1	chr1	82816954	82817454	False	True
A030005L19Rik	chr1	82890796	82891296	False	False
A030014E15Rik	chr1	82902388	82902888	False	False
Gm6217	chr1	82908870	82909370	False	False
A030003K21Rik	chr1	82920859	82921359	False	False
Gm7544	chr1	82933484	82933984	False	False
Gm47955	chr1	82937757	82938257	False	False
Gm47959	chr1	82978019	82978519	False	False
Slc19a3	chr1	83015919	83016419	False	False
Krtap28-10	chr1	83019951	83020451	False	False
Gm47969	chr1	83022403	83022903	False	False
A030005K14Rik	chr1	83036849	83037349	False	False
Krtap28-13	chr1	83038401	83038901	False	False
Ccl20	chr1	83094264	83094764	False	False
Daw1	chr1	83137233	83137733	False	False
Sphkap	chr1	83385671	83386171	False	False
Pid1	chr1	84313644	84314144	False	False
Dner	chr1	84673692	84674192	False	False
Fbxo36	chr1	84817312	84817812	False	True
Trip12	chr1	84817987	84818487	True	True
Slc16a14	chr1	84912605	84913105	False	False
Gm15433	chr1	84936453	84936953	False	False
Gm7582	chr1	85006315	85006815	False	False
Sp140l1	chr1	85086920	85087420	False	False
Gm7609	chr1	85177179	85177679	False	False
Sp140l2	chr1	85223868	85224368	False	False
Gm52955	chr1	85412613	85413113	False	False
Gm7592	chr1	85477158	85477658	False	False
Sp110	chr1	85526250	85526750	False	False
Sp140	chr1	85528174	85528674	False	False
Sp100	chr1	85630913	85631413	False	False
A630001G21Rik	chr1	85706114	85706614	False	False
Cab39	chr1	85720912	85721412	True	False
Itm2c	chr1	85822090	85822590	False	False
4933407L21Rik	chr1	85856198	85856698	False	False
Gpr55	chr1	85888479	85888979	False	False
Spata3	chr1	85945540	85946040	False	False
2810459M11Rik	chr1	85973335	85973835	False	False
Psmd1	chr1	85992091	85992591	True	True
Htr2b	chr1	86039442	86039942	False	False
Gm21972	chr1	86061109	86061609	False	False
Armc9	chr1	86082271	86082771	False	True
B3gnt7	chr1	86230706	86231206	False	False
Ncl	chr1	86286872	86287372	False	True
Nmur1	chr1	86353700	86354200	False	True
Tex44	chr1	86353801	86354301	False	False
Ptma	chr1	86454209	86454709	False	False
Pde6d	chr1	86509989	86510489	True	True
Cops7b	chr1	86510410	86510910	True	True
Nppc	chr1	86598043	86598543	False	False
Dis3l2	chr1	86631291	86631791	False	True
Alppl2	chr1	87017400	87017900	False	False
Alpi	chr1	87029078	87029578	False	False
Akp3	chr1	87052480	87052980	False	False
Ecel1	chr1	87083993	87084493	False	False
Prss56	chr1	87110785	87111285	False	False
Chrnd	chr1	87118109	87118609	False	False
Chrng	chr1	87133283	87133783	False	False
Eif4e2	chr1	87141386	87141886	False	True
Efhd1	chr1	87191835	87192335	False	False
Kcnj13	chr1	87322201	87322701	False	False
Gigyf2	chr1	87332436	87332936	False	True
Snorc	chr1	87397743	87398243	False	True
Neu2	chr1	87437361	87437861	False	False
Ngef	chr1	87501342	87501842	False	False
Inpp5d	chr1	87547784	87548284	False	False
Atg16l1	chr1	87683485	87683985	True	True
Sag	chr1	87731152	87731652	False	False
Dgkd	chr1	87780759	87781259	False	False
Usp40	chr1	87936023	87936523	False	True
Ugt1a10	chr1	87982883	87983383	False	False
Ugt1a9	chr1	87998272	87998772	False	False
Ugt1a8	chr1	88015285	88015785	False	False
Ugt1a7c	chr1	88022536	88023036	False	False
Ugt1a6b	chr1	88030724	88031224	False	False
Ugt1a6a	chr1	88062281	88062781	False	False
Ugt1a5	chr1	88093484	88093984	False	False
Ugt1a2	chr1	88128073	88128573	False	False
Dnajb3	chr1	88133254	88133754	False	False
Ugt1a1	chr1	88139431	88139931	False	False
Mroh2a	chr1	88154503	88155003	False	False
Hjurp	chr1	88205105	88205605	False	False
Trpm8	chr1	88230755	88231255	False	False
Spp2	chr1	88334433	88334933	False	False
Glrp1	chr1	88437538	88438038	False	False
Arl4c	chr1	88629348	88629848	False	False
Sh3bp4	chr1	88997887	88998387	False	False
Agap1	chr1	89382278	89382778	False	False
Gbx2	chr1	89858651	89859151	False	False
Asb18	chr1	89942049	89942549	False	False
Iqca1	chr1	90080873	90081373	False	False
Ackr3	chr1	90131452	90131952	False	False
Cops8	chr1	90530453	90530953	True	False
Col6a3	chr1	90771424	90771924	False	False
Mlph	chr1	90842557	90843057	False	False
Prlh	chr1	90880580	90881080	False	False
Rab17	chr1	90897133	90897633	False	False
Lrrfip1	chr1	90926251	90926751	False	False
Rbm44	chr1	91072575	91073075	False	False
Ramp1	chr1	91107518	91108018	False	False
Ube2f	chr1	91177809	91178309	False	False
Scly	chr1	91225810	91226310	True	True
Espnl	chr1	91249605	91250105	False	False
Klhl30	chr1	91278488	91278988	False	False
Erfe	chr1	91293902	91294402	False	False
Ilkap	chr1	91326172	91326672	False	False
Hes6	chr1	91340694	91341194	False	False
Per2	chr1	91386796	91387296	False	False
Traf3ip1	chr1	91422119	91422619	False	False
Asb1	chr1	91468186	91468686	True	True
Twist2	chr1	91728933	91729433	False	False
Hdac4	chr1	92107813	92108313	False	False
Ndufa10	chr1	92401332	92401832	True	True
Or6b2	chr1	92412585	92413085	False	False
Or6b2b	chr1	92423573	92424073	False	False
Or6b3	chr1	92446133	92446633	False	False
Or9s23	chr1	92498794	92499294	False	False
Or9s27	chr1	92513251	92513751	False	False
Or9s15	chr1	92521883	92522383	False	False
Or9s14	chr1	92533254	92533754	False	False
Or9s13	chr1	92545260	92545760	False	False
Cops9	chr1	92569457	92569957	False	False
Otos	chr1	92576313	92576813	False	False
Gpc1	chr1	92759117	92759617	False	False
Ankmy1	chr1	92830378	92830878	False	True
Dusp28	chr1	92834453	92834953	False	True
Rnpepl1	chr1	92844263	92844763	False	False
Capn10	chr1	92861848	92862348	False	True
Gpr35	chr1	92900594	92901094	False	False
Aqp12	chr1	92933806	92934306	False	False
Kif1a	chr1	93029294	93029794	False	False
Agxt	chr1	93062712	93063212	False	False
Mab21l4	chr1	93088420	93088920	False	False
Crocc2	chr1	93096197	93096697	False	False
Sned1	chr1	93163313	93163813	False	False
Mterf4	chr1	93233335	93233835	False	True
Pask	chr1	93270261	93270761	False	False
Ppp1r7	chr1	93270326	93270826	False	False
Ano7	chr1	93329333	93329833	False	False
Hdlbp	chr1	93406273	93406773	True	True
Farp2	chr1	93439551	93440051	False	False
Stk25	chr1	93586131	93586631	True	True
Bok	chr1	93613132	93613632	False	False
Thap4	chr1	93682252	93682752	True	True
Atg4b	chr1	93682377	93682877	True	True
Dtymk	chr1	93729406	93729906	True	True
Ing5	chr1	93731437	93731937	False	True
D2hgdh	chr1	93752712	93753212	False	False
Gal3st2	chr1	93788818	93789318	False	False
Gal3st2b	chr1	93845783	93846283	False	False
Gal3st2c	chr1	93917981	93918481	False	False
Neu4	chr1	93947965	93948465	False	False
Pdcd1	chr1	93980028	93980528	False	False
Fam174a	chr1	95241098	95241598	True	True
St8sia4	chr1	95595046	95595546	False	False
Slco4c1	chr1	96799646	96800146	False	False
Slco6c1	chr1	97055681	97056181	False	False
Macir	chr1	97589549	97590049	False	False
Gin1	chr1	97697672	97698172	False	True
Ppip5k2	chr1	97697886	97698386	True	True
Pam	chr1	98023096	98023596	False	False
Slco6d1	chr1	98348602	98349102	False	False
Cntnap5b	chr1	100025236	100025736	False	False
Cdh20	chr1	104696004	104696504	False	False
Rnf152	chr1	105284145	105284645	False	False
Pign	chr1	105591118	105591618	True	False
Relch	chr1	105591388	105591888	False	False
Tnfrsf11a	chr1	105708193	105708693	False	False
Zcchc2	chr1	105917886	105918386	False	False
Phlpp1	chr1	106099232	106099732	False	False
Bcl2	chr1	106641754	106642254	False	False
Kdsr	chr1	106687207	106687707	False	False
Vps4b	chr1	106724147	106724647	True	True
Serpinb5	chr1	106788654	106789154	False	False
Serpinb12	chr1	106861929	106862429	False	False
Serpinb13	chr1	106908464	106908964	False	False
Serpinb3a	chr1	106979783	106980283	False	False
Serpinb3d	chr1	107010986	107011486	False	False
Serpinb3b	chr1	107088594	107089094	False	False
Serpinb3c	chr1	107205851	107206351	False	False
Serpinb11	chr1	107289409	107289909	False	False
Serpinb7	chr1	107327135	107327635	False	False
Serpinb2	chr1	107438903	107439403	False	False
Serpinb10	chr1	107456507	107457007	False	False
Serpinb8	chr1	107517486	107517986	False	False
Cdh7	chr1	109910190	109910690	False	False
Cdh19	chr1	110904843	110905343	False	False
Dsel	chr1	111792398	111792898	False	False
Cntnap5a	chr1	115612236	115612736	False	False
Gm19965	chr1	116730463	116730963	False	False
B020011L13Rik	chr1	117708613	117709113	False	False
Gm7145	chr1	117893419	117893919	False	False
Gm29106	chr1	118104022	118104522	False	False
Tsn	chr1	118238896	118239396	True	True
Nifk	chr1	118249334	118249834	False	True
Clasp1	chr1	118316538	118317038	False	True
Tfcp2l1	chr1	118555426	118555926	False	False
Gli2	chr1	118981099	118981599	False	False
Inhbb	chr1	119349728	119350228	False	False
Ralb	chr1	119432274	119432774	False	False
Tmem185b	chr1	119453640	119454140	True	False
Epb41l5	chr1	119576416	119576916	False	False
Ptpn4	chr1	119764479	119764979	False	False
Tmem177	chr1	119840688	119841188	True	False
Cfap221	chr1	119924670	119925170	False	False
Sctr	chr1	119934374	119934874	False	False
Tmem37	chr1	120001554	120002054	False	False
Dbi	chr1	120048558	120049058	False	False
3110009E18Rik	chr1	120048667	120049167	False	False
Steap3	chr1	120192735	120193235	False	False
