	File accession_x	File format_x	File type_x	Output type_x	Experiment accession_x	Assay_x	Biosample term id_x	Biosample term name	Biosample type_x	Biosample organism	Library made from_x	Experiment date released_x	Project_x	Biological replicate(s)_x	Derived from_x	Size_x	Lab_x	md5sum_x	File download URL_x	Assembly_x	File Status_x	s3_uri_x	File accession_y	File format_y	File type_y	Output type_y	Experiment accession_y	Assay_y	Biosample term id_y	Biosample type_y	Experiment target_y	Library made from_y	Experiment date released_y	Project_y	Biological replicate(s)_y	Mapped read length_y	Derived from_y	Size_y	Lab_y	md5sum_y	File download URL_y	Assembly_y	File Status_y	s3_uri_y
93	ENCFF512PAT	bam	bam	alignments	ENCSR133KBX	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF121OAR	1018841377	ENCODE Processing Pipeline	814ecc20e31b5b39af7de9551ac82761	https://www.encodeproject.org/files/ENCFF512PAT/@@download/ENCFF512PAT.bam	hg19	released	s3://encode-public/2017/09/19/a043207c-4d45-4246-bf9b-1918cc0f09f6/ENCFF512PAT.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
95	ENCFF512PAT	bam	bam	alignments	ENCSR133KBX	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF121OAR	1018841377	ENCODE Processing Pipeline	814ecc20e31b5b39af7de9551ac82761	https://www.encodeproject.org/files/ENCFF512PAT/@@download/ENCFF512PAT.bam	hg19	released	s3://encode-public/2017/09/19/a043207c-4d45-4246-bf9b-1918cc0f09f6/ENCFF512PAT.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
121	ENCFF267COY	bam	bam	alignments	ENCSR594OWA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF811RPU	1032377738	ENCODE Processing Pipeline	ab142541b7a0b0fff114ec1a2e20b6d5	https://www.encodeproject.org/files/ENCFF267COY/@@download/ENCFF267COY.bam	hg19	released	s3://encode-public/2017/09/19/dead1c86-f8eb-408b-a2b3-0f7e3fdfb522/ENCFF267COY.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
122	ENCFF267COY	bam	bam	alignments	ENCSR594OWA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF811RPU	1032377738	ENCODE Processing Pipeline	ab142541b7a0b0fff114ec1a2e20b6d5	https://www.encodeproject.org/files/ENCFF267COY/@@download/ENCFF267COY.bam	hg19	released	s3://encode-public/2017/09/19/dead1c86-f8eb-408b-a2b3-0f7e3fdfb522/ENCFF267COY.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
125	ENCFF267COY	bam	bam	alignments	ENCSR594OWA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF811RPU	1032377738	ENCODE Processing Pipeline	ab142541b7a0b0fff114ec1a2e20b6d5	https://www.encodeproject.org/files/ENCFF267COY/@@download/ENCFF267COY.bam	hg19	released	s3://encode-public/2017/09/19/dead1c86-f8eb-408b-a2b3-0f7e3fdfb522/ENCFF267COY.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
127	ENCFF267COY	bam	bam	alignments	ENCSR594OWA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF811RPU	1032377738	ENCODE Processing Pipeline	ab142541b7a0b0fff114ec1a2e20b6d5	https://www.encodeproject.org/files/ENCFF267COY/@@download/ENCFF267COY.bam	hg19	released	s3://encode-public/2017/09/19/dead1c86-f8eb-408b-a2b3-0f7e3fdfb522/ENCFF267COY.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
153	ENCFF439UNT	bam	bam	alignments	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF934QKX	992254049	ENCODE Processing Pipeline	a891f75adaf858537dab1e3d17cc59eb	https://www.encodeproject.org/files/ENCFF439UNT/@@download/ENCFF439UNT.bam	hg19	released	s3://encode-public/2017/09/19/e71ea9f6-7f23-4161-ba54-697df76309cf/ENCFF439UNT.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
154	ENCFF439UNT	bam	bam	alignments	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF934QKX	992254049	ENCODE Processing Pipeline	a891f75adaf858537dab1e3d17cc59eb	https://www.encodeproject.org/files/ENCFF439UNT/@@download/ENCFF439UNT.bam	hg19	released	s3://encode-public/2017/09/19/e71ea9f6-7f23-4161-ba54-697df76309cf/ENCFF439UNT.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
157	ENCFF439UNT	bam	bam	alignments	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF934QKX	992254049	ENCODE Processing Pipeline	a891f75adaf858537dab1e3d17cc59eb	https://www.encodeproject.org/files/ENCFF439UNT/@@download/ENCFF439UNT.bam	hg19	released	s3://encode-public/2017/09/19/e71ea9f6-7f23-4161-ba54-697df76309cf/ENCFF439UNT.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
159	ENCFF439UNT	bam	bam	alignments	ENCSR457ILW	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF934QKX	992254049	ENCODE Processing Pipeline	a891f75adaf858537dab1e3d17cc59eb	https://www.encodeproject.org/files/ENCFF439UNT/@@download/ENCFF439UNT.bam	hg19	released	s3://encode-public/2017/09/19/e71ea9f6-7f23-4161-ba54-697df76309cf/ENCFF439UNT.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
185	ENCFF859MLZ	bam	bam	alignments	ENCSR565EBN	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF548GQL	1398332923	ENCODE Processing Pipeline	c0a9d8acdd10a0ee2fa3d45d6433d303	https://www.encodeproject.org/files/ENCFF859MLZ/@@download/ENCFF859MLZ.bam	hg19	released	s3://encode-public/2017/09/19/d3a99212-6f2b-4cb2-a576-7f54e45e1036/ENCFF859MLZ.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
186	ENCFF859MLZ	bam	bam	alignments	ENCSR565EBN	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF548GQL	1398332923	ENCODE Processing Pipeline	c0a9d8acdd10a0ee2fa3d45d6433d303	https://www.encodeproject.org/files/ENCFF859MLZ/@@download/ENCFF859MLZ.bam	hg19	released	s3://encode-public/2017/09/19/d3a99212-6f2b-4cb2-a576-7f54e45e1036/ENCFF859MLZ.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
189	ENCFF859MLZ	bam	bam	alignments	ENCSR565EBN	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF548GQL	1398332923	ENCODE Processing Pipeline	c0a9d8acdd10a0ee2fa3d45d6433d303	https://www.encodeproject.org/files/ENCFF859MLZ/@@download/ENCFF859MLZ.bam	hg19	released	s3://encode-public/2017/09/19/d3a99212-6f2b-4cb2-a576-7f54e45e1036/ENCFF859MLZ.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
191	ENCFF859MLZ	bam	bam	alignments	ENCSR565EBN	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF548GQL	1398332923	ENCODE Processing Pipeline	c0a9d8acdd10a0ee2fa3d45d6433d303	https://www.encodeproject.org/files/ENCFF859MLZ/@@download/ENCFF859MLZ.bam	hg19	released	s3://encode-public/2017/09/19/d3a99212-6f2b-4cb2-a576-7f54e45e1036/ENCFF859MLZ.bam	ENCFF130IBQ	bam	bam	alignments	ENCSR454VRA	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF807MUK, ENCFF910WPG	1002348605	ENCODE Processing Pipeline	74cfc31633df21ebc96a958d43ac09b6	https://www.encodeproject.org/files/ENCFF130IBQ/@@download/ENCFF130IBQ.bam	hg19	released	s3://encode-public/2017/04/05/d20f2171-e360-4344-a043-8c7eb61ddfc9/ENCFF130IBQ.bam
217	ENCFF796WAK	bam	bam	alignments	ENCSR354FBA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF829VCO	960537361	ENCODE Processing Pipeline	910c6eaca2d71e5382866622e9c6903e	https://www.encodeproject.org/files/ENCFF796WAK/@@download/ENCFF796WAK.bam	hg19	released	s3://encode-public/2017/09/19/2d61f7db-808a-4c5e-b446-80803e3bf682/ENCFF796WAK.bam	ENCFF195YMX	bam	bam	alignments	ENCSR543CPW	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF349RCJ, ENCFF668PTO, ENCFF684LMP, ENCFF807MUK	630603781	ENCODE Processing Pipeline	8fcd902853ffcaf3f0857804b820ef68	https://www.encodeproject.org/files/ENCFF195YMX/@@download/ENCFF195YMX.bam	hg19	released	s3://encode-public/2017/03/27/79c03cbb-bbae-4358-b255-8a9ec45b75fd/ENCFF195YMX.bam
218	ENCFF796WAK	bam	bam	alignments	ENCSR354FBA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF829VCO	960537361	ENCODE Processing Pipeline	910c6eaca2d71e5382866622e9c6903e	https://www.encodeproject.org/files/ENCFF796WAK/@@download/ENCFF796WAK.bam	hg19	released	s3://encode-public/2017/09/19/2d61f7db-808a-4c5e-b446-80803e3bf682/ENCFF796WAK.bam	ENCFF943RFS	bam	bam	alignments	ENCSR655XLM	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF308MVS, ENCFF807MUK	529101148	ENCODE Processing Pipeline	e6d1daadb593e63ba4a317fbc5708166	https://www.encodeproject.org/files/ENCFF943RFS/@@download/ENCFF943RFS.bam	hg19	released	s3://encode-public/2017/05/10/5495df8f-1e35-4ce1-b561-ba8b123f864b/ENCFF943RFS.bam
221	ENCFF796WAK	bam	bam	alignments	ENCSR354FBA	DNase-seq	UBERON:0002108	small intestine	tissue	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF829VCO	960537361	ENCODE Processing Pipeline	910c6eaca2d71e5382866622e9c6903e	https://www.encodeproject.org/files/ENCFF796WAK/@@download/ENCFF796WAK.bam	hg19	released	s3://encode-public/2017/09/19/2d61f7db-808a-4c5e-b446-80803e3bf682/ENCFF796WAK.bam	ENCFF618QIM	bam	bam	alignments	ENCSR892XFG	ChIP-seq	UBERON:0002108	tissue	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF313OLS, ENCFF355KRT, ENCFF807MUK	1218854578	ENCODE Processing Pipeline	db90d539d8d13a446d4f7017a610d89d	https://www.encodeproject.org/files/ENCFF618QIM/@@download/ENCFF618QIM.bam	hg19	released	s3://encode-public/2016/12/19/c1198237-0d8a-4153-9935-53b9bbfb5d97/ENCFF618QIM.bam
