Assay_x	Assay_y	Assembly_x	Assembly_y	Biological replicate(s)_x	Biological replicate(s)_y	Biosample organism	Biosample term id_x	Biosample term id_y	Biosample term name	Biosample type_x	Biosample type_y	Derived from_x	Derived from_y	Experiment accession_x	Experiment accession_y	Experiment date released_x	Experiment date released_y	Experiment target_y	File Status_x	File Status_y	File accession_x	File accession_y	File download URL_x	File download URL_y	File format_x	File format_y	File type_x	File type_y	Lab_x	Lab_y	Library made from_x	Library made from_y	Mapped read length_y	Output type_x	Output type_y	Project_x	Project_y	Size_x	Size_y	md5sum_x	md5sum_y	s3_uri_x	s3_uri_y
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	UBERON:0002106	UBERON:0002106	spleen	tissue	tissue	ENCFF055UYI	ENCFF023RKK, ENCFF030XCQ, ENCFF069LYC, ENCFF132QCA, ENCFF674BQL, ENCFF793WPL, ENCFF807MUK, ENCFF824EOS, ENCFF894ZNZ	ENCSR679IFH	ENCSR726HTS	2013-07-31	2016-11-03	H3K27ac-human	released	released	ENCFF039NMI	ENCFF683SWA	https://www.encodeproject.org/files/ENCFF039NMI/@@download/ENCFF039NMI.bam	https://www.encodeproject.org/files/ENCFF683SWA/@@download/ENCFF683SWA.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	Roadmap	ENCODE	1362853851	1878260509	0eaee4b63032291621aae7a940213366	440ff0e14af9711586ca6444c5e97ca6	s3://encode-public/2017/09/19/bd0e296a-18fd-43b4-9031-752c622644ac/ENCFF039NMI.bam	s3://encode-public/2019/08/30/394fac38-0227-40e2-bff1-5232a35a89b6/ENCFF683SWA.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	UBERON:0002106	UBERON:0002106	spleen	tissue	tissue	ENCFF055UYI	ENCFF007TBV, ENCFF234GKO, ENCFF451NBT, ENCFF547YCY, ENCFF574KIM, ENCFF807MUK, ENCFF954CEB	ENCSR679IFH	ENCSR726HTS	2013-07-31	2016-11-03	H3K27ac-human	released	released	ENCFF039NMI	ENCFF795IVM	https://www.encodeproject.org/files/ENCFF039NMI/@@download/ENCFF039NMI.bam	https://www.encodeproject.org/files/ENCFF795IVM/@@download/ENCFF795IVM.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	Roadmap	ENCODE	1362853851	2565403221	0eaee4b63032291621aae7a940213366	49d60d03e564a046651dfda41137c463	s3://encode-public/2017/09/19/bd0e296a-18fd-43b4-9031-752c622644ac/ENCFF039NMI.bam	s3://encode-public/2019/08/30/a4381a86-2031-4736-91ce-7ea5ef3fe2e1/ENCFF795IVM.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	EFO:0003045	EFO:0003045	H9	cell line	cell line	ENCFF257MQX, ENCFF719SKA	ENCFF081KCW, ENCFF807MUK	ENCSR000EJP	ENCSR876RGF	2011-04-19	2013-07-31	H3K27ac-human	released	released	ENCFF854QWS	ENCFF775ONB	https://www.encodeproject.org/files/ENCFF854QWS/@@download/ENCFF854QWS.bam	https://www.encodeproject.org/files/ENCFF775ONB/@@download/ENCFF775ONB.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	Roadmap	2636679550	460787577	934265e0cf1096887b3b184cf0fcf412	346c6782f189f4404f90a86dd2f6dcb7	s3://encode-public/2017/10/03/4683152f-f2dc-48b0-bfd7-ea4eaaf09fd5/ENCFF854QWS.bam	s3://encode-public/2016/12/19/435a8d3a-afaf-4291-8ba7-5d2400ebbf0a/ENCFF775ONB.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	EFO:0003045	EFO:0003045	H9	cell line	cell line	ENCFF257MQX, ENCFF719SKA	ENCFF087HNU, ENCFF185DRU, ENCFF807MUK	ENCSR000EJP	ENCSR876RGF	2011-04-19	2013-07-31	H3K27ac-human	released	released	ENCFF854QWS	ENCFF930EEK	https://www.encodeproject.org/files/ENCFF854QWS/@@download/ENCFF854QWS.bam	https://www.encodeproject.org/files/ENCFF930EEK/@@download/ENCFF930EEK.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	30.0	alignments	alignments	ENCODE	Roadmap	2636679550	723208125	934265e0cf1096887b3b184cf0fcf412	a43bcd5152e4128a8a27bea1984018bc	s3://encode-public/2017/10/03/4683152f-f2dc-48b0-bfd7-ea4eaaf09fd5/ENCFF854QWS.bam	s3://encode-public/2017/01/28/e47801d5-3e85-4a8b-872a-e8a02cc3c486/ENCFF930EEK.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	EFO:0007096	EFO:0007096	iPS DF 19.11	cell line	cell line	ENCFF793HZT	ENCFF093XFY, ENCFF539GZC, ENCFF807MUK	ENCSR383SNM	ENCSR505OPZ	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF052FAL	ENCFF637QJT	https://www.encodeproject.org/files/ENCFF052FAL/@@download/ENCFF052FAL.bam	https://www.encodeproject.org/files/ENCFF637QJT/@@download/ENCFF637QJT.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	10206671414	3073751394	f1e90466262cb18c40fa8f0e305430fc	209b02591a1ab8c72434cf1a0c3f2891	s3://encode-public/2017/09/19/401564ae-33d9-42fb-90c2-fd59c630d311/ENCFF052FAL.bam	s3://encode-public/2016/12/19/05a21d70-0512-4de3-ac26-09a8f6b3e318/ENCFF637QJT.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	EFO:0007096	EFO:0007096	iPS DF 19.11	cell line	cell line	ENCFF793HZT	ENCFF504WFG, ENCFF807MUK	ENCSR383SNM	ENCSR505OPZ	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF052FAL	ENCFF849KFW	https://www.encodeproject.org/files/ENCFF052FAL/@@download/ENCFF052FAL.bam	https://www.encodeproject.org/files/ENCFF849KFW/@@download/ENCFF849KFW.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	10206671414	2977687267	f1e90466262cb18c40fa8f0e305430fc	70c7cc7d3cab58acd152ede55d5ad7ca	s3://encode-public/2017/09/19/401564ae-33d9-42fb-90c2-fd59c630d311/ENCFF052FAL.bam	s3://encode-public/2016/12/19/5ad0b2a7-5230-4d57-816b-80a4c29efe4a/ENCFF849KFW.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	UBERON:0004648	UBERON:0004648	esophagus muscularis mucosa	tissue	tissue	ENCFF657FKF	ENCFF103LRC, ENCFF179QOO, ENCFF225NHL, ENCFF773AMW, ENCFF807MUK	ENCSR944JCE	ENCSR894MOX	2017-11-01	2019-09-11	H3K27ac-human	released	released	ENCFF208ILP	ENCFF342NVV	https://www.encodeproject.org/files/ENCFF208ILP/@@download/ENCFF208ILP.bam	https://www.encodeproject.org/files/ENCFF342NVV/@@download/ENCFF342NVV.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	ENCODE	ENCODE	8692372051	1300929181	5120c6f66cb2f2bf1554190bd1da1c03	88046691e8215dc3c425254cd4e3c77b	s3://encode-public/2017/09/19/9d1fc060-a350-47b1-ac54-9ed5ef4a1a3b/ENCFF208ILP.bam	s3://encode-public/2019/08/28/0d39e7e5-c581-4758-93da-44147c2f243b/ENCFF342NVV.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	UBERON:0004648	UBERON:0004648	esophagus muscularis mucosa	tissue	tissue	ENCFF657FKF	ENCFF149LPB, ENCFF195EZZ, ENCFF376UAD, ENCFF405ZBR, ENCFF807MUK	ENCSR944JCE	ENCSR894MOX	2017-11-01	2019-09-11	H3K27ac-human	released	released	ENCFF208ILP	ENCFF733TOJ	https://www.encodeproject.org/files/ENCFF208ILP/@@download/ENCFF208ILP.bam	https://www.encodeproject.org/files/ENCFF733TOJ/@@download/ENCFF733TOJ.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	76.0	alignments	alignments	ENCODE	ENCODE	8692372051	1622061970	5120c6f66cb2f2bf1554190bd1da1c03	f3aa339ea6842ae5e94b084fd836d605	s3://encode-public/2017/09/19/9d1fc060-a350-47b1-ac54-9ed5ef4a1a3b/ENCFF208ILP.bam	s3://encode-public/2019/08/28/96760e7c-c1bf-47cb-80b4-2f7ef8c22bdc/ENCFF733TOJ.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	EFO:0002323	EFO:0002323	RWPE1	cell line	cell line	ENCFF295RHS, ENCFF769WEQ	ENCFF054HVM, ENCFF807MUK, ENCFF950OXW	ENCSR000ELP	ENCSR203KEU	2012-03-28	2017-03-03	H3K27ac-human	released	released	ENCFF688CCE	ENCFF087MEP	https://www.encodeproject.org/files/ENCFF688CCE/@@download/ENCFF688CCE.bam	https://www.encodeproject.org/files/ENCFF087MEP/@@download/ENCFF087MEP.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	100.0	alignments	alignments	ENCODE	ENCODE	5111304046	7759706770	8c391d95a0949778991c7fbcba14e570	1cfc7fe98a4a084ab307693d06733ef4	s3://encode-public/2017/10/05/ae9177a1-0bf8-4442-b974-dd27d3ba8105/ENCFF688CCE.bam	s3://encode-public/2017/03/01/59bb991a-40d2-4516-9f0f-758c268fe46e/ENCFF087MEP.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	EFO:0002323	EFO:0002323	RWPE1	cell line	cell line	ENCFF295RHS, ENCFF769WEQ	ENCFF666GAH, ENCFF807MUK, ENCFF925HTP	ENCSR000ELP	ENCSR203KEU	2012-03-28	2017-03-03	H3K27ac-human	released	released	ENCFF688CCE	ENCFF762JOI	https://www.encodeproject.org/files/ENCFF688CCE/@@download/ENCFF688CCE.bam	https://www.encodeproject.org/files/ENCFF762JOI/@@download/ENCFF762JOI.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	100.0	alignments	alignments	ENCODE	ENCODE	5111304046	8107216973	8c391d95a0949778991c7fbcba14e570	6686955abca030208c7ba334b63eab9e	s3://encode-public/2017/10/05/ae9177a1-0bf8-4442-b974-dd27d3ba8105/ENCFF688CCE.bam	s3://encode-public/2017/03/01/43bc33bf-0521-4cb7-b111-3c2f9a5adc79/ENCFF762JOI.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	CL:0000047	CL:0000047	neural stem progenitor cell	in vitro differentiated cells	in vitro differentiated cells	ENCFF487QRD, ENCFF541CGC	ENCFF314JAW, ENCFF807MUK	ENCSR278FVO	ENCSR799SRL	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF991GGR	ENCFF303LNR	https://www.encodeproject.org/files/ENCFF991GGR/@@download/ENCFF991GGR.bam	https://www.encodeproject.org/files/ENCFF303LNR/@@download/ENCFF303LNR.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	3654250425	1372650515	415b15b4b29610f858817232676b3186	f0d31b12427ca8176207eb6de8cd349d	s3://encode-public/2017/10/03/1af1e84e-7d09-40d9-b4de-e08cbb86dbee/ENCFF991GGR.bam	s3://encode-public/2016/12/19/4f367cf2-5840-4149-9053-06df6e9218ff/ENCFF303LNR.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	CL:0000047	CL:0000047	neural stem progenitor cell	in vitro differentiated cells	in vitro differentiated cells	ENCFF487QRD, ENCFF541CGC	ENCFF277BER, ENCFF807MUK	ENCSR278FVO	ENCSR799SRL	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF991GGR	ENCFF840CMQ	https://www.encodeproject.org/files/ENCFF991GGR/@@download/ENCFF991GGR.bam	https://www.encodeproject.org/files/ENCFF840CMQ/@@download/ENCFF840CMQ.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	3654250425	1243514693	415b15b4b29610f858817232676b3186	0020725e255f138aedbb3a258d4b6f01	s3://encode-public/2017/10/03/1af1e84e-7d09-40d9-b4de-e08cbb86dbee/ENCFF991GGR.bam	s3://encode-public/2016/12/19/0597773f-7573-485e-8f02-14ea6e25a4be/ENCFF840CMQ.bam
DNase-seq	ChIP-seq	hg19	hg19	1	3	Homo sapiens	CL:0000047	CL:0000047	neural stem progenitor cell	in vitro differentiated cells	in vitro differentiated cells	ENCFF487QRD, ENCFF541CGC	ENCFF279KNT, ENCFF807MUK	ENCSR278FVO	ENCSR799SRL	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF991GGR	ENCFF386MOE	https://www.encodeproject.org/files/ENCFF991GGR/@@download/ENCFF991GGR.bam	https://www.encodeproject.org/files/ENCFF386MOE/@@download/ENCFF386MOE.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	3654250425	1523598513	415b15b4b29610f858817232676b3186	55c746ae1fa284d18633bf2bee4bbb89	s3://encode-public/2017/10/03/1af1e84e-7d09-40d9-b4de-e08cbb86dbee/ENCFF991GGR.bam	s3://encode-public/2016/12/19/eeb1dfbb-1bb8-427b-8492-5d86d178af13/ENCFF386MOE.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	CL:0000062	CL:0000062	osteoblast	primary cell	primary cell	ENCFF266HWZ, ENCFF525DSP, ENCFF951YBC	ENCFF000CVS, ENCFF807MUK	ENCSR000ELJ	ENCSR000APH	2011-04-19	2011-02-10	H3K27ac-human	released	released	ENCFF933ZOD	ENCFF535AIK	https://www.encodeproject.org/files/ENCFF933ZOD/@@download/ENCFF933ZOD.bam	https://www.encodeproject.org/files/ENCFF535AIK/@@download/ENCFF535AIK.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	4996998317	455401889	9e35adf7d9a16e299a0ccba0de6377ca	c130ebb784a241c841f266548aa9aafe	s3://encode-public/2017/10/06/228e856d-7d71-4b9d-abcc-1f7638ecea81/ENCFF933ZOD.bam	s3://encode-public/2017/04/04/9a0b01df-d5ba-4ea5-af8a-0ba413d667da/ENCFF535AIK.bam
DNase-seq	ChIP-seq	hg19	hg19	1	2	Homo sapiens	CL:0000062	CL:0000062	osteoblast	primary cell	primary cell	ENCFF266HWZ, ENCFF525DSP, ENCFF951YBC	ENCFF000CVU, ENCFF807MUK	ENCSR000ELJ	ENCSR000APH	2011-04-19	2011-02-10	H3K27ac-human	released	released	ENCFF933ZOD	ENCFF767YLX	https://www.encodeproject.org/files/ENCFF933ZOD/@@download/ENCFF933ZOD.bam	https://www.encodeproject.org/files/ENCFF767YLX/@@download/ENCFF767YLX.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	ENCODE	ENCODE	4996998317	1413016909	9e35adf7d9a16e299a0ccba0de6377ca	e48058f7f9980e2b05ff7aa7b577a7f9	s3://encode-public/2017/10/06/228e856d-7d71-4b9d-abcc-1f7638ecea81/ENCFF933ZOD.bam	s3://encode-public/2017/04/04/bed0e3d2-37fa-429c-84ee-884dfb10a211/ENCFF767YLX.bam
DNase-seq	ChIP-seq	hg19	hg19	1	1	Homo sapiens	NTR:0000856	NTR:0000856	mesendoderm	in vitro differentiated cells	in vitro differentiated cells	ENCFF007BWG, ENCFF940VYO	ENCFF807MUK, ENCFF826BHT	ENCSR714DIF	ENCSR473PNT	2013-07-31	2013-07-31	H3K27ac-human	released	released	ENCFF610NNF	ENCFF461HDD	https://www.encodeproject.org/files/ENCFF610NNF/@@download/ENCFF610NNF.bam	https://www.encodeproject.org/files/ENCFF461HDD/@@download/ENCFF461HDD.bam	bam	bam	bam	bam	ENCODE Processing Pipeline	ENCODE Processing Pipeline	DNA	DNA	36.0	alignments	alignments	Roadmap	Roadmap	12849140306	452971862	566780734ca69f9a834fe9a818379305	98e0a300cd96ef1ea9951964c72e04e0	s3://encode-public/2018/05/07/6a71b3f0-36e3-442c-b77f-105c5ed11bcc/ENCFF610NNF.bam	s3://encode-public/2016/12/19/e59bae85-2a39-4f50-999a-9a847f0e196c/ENCFF461HDD.bam
