Assay_Accessibility	Assay_H3K27ac	Assembly	Audit ERROR_Accessibility	Audit ERROR_H3K27ac	Audit INTERNAL_ACTION_Accessibility	Audit INTERNAL_ACTION_H3K27ac	Audit NOT_COMPLIANT_Accessibility	Audit NOT_COMPLIANT_H3K27ac	Audit WARNING_Accessibility	Audit WARNING_H3K27ac	Biological replicate(s)_Accessibility	Biological replicate(s)_H3K27ac	Biosample genetic modifications categories	Biosample genetic modifications gene targets	Biosample genetic modifications methods	Biosample genetic modifications site coordinates_Accessibility	Biosample genetic modifications site coordinates_H3K27ac	Biosample genetic modifications targets	Biosample genetic modifications zygosity_Accessibility	Biosample genetic modifications zygosity_H3K27ac	Biosample organism	Biosample term id_Accessibility	Biosample term id_H3K27ac	Biosample term name	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample type_Accessibility	Biosample type_H3K27ac	Controlled by_Accessibility	Controlled by_H3K27ac	Derived from_Accessibility	Derived from_H3K27ac	Experiment accession_Accessibility	Experiment accession_H3K27ac	Experiment date released_Accessibility	Experiment date released_H3K27ac	Experiment target_Accessibility	Experiment target_H3K27ac	File Status_Accessibility	File Status_H3K27ac	File accession_Accessibility	File accession_H3K27ac	File assembly_Accessibility	File assembly_H3K27ac	File download URL_Accessibility	File download URL_H3K27ac	File format	File format type_Accessibility	File format type_H3K27ac	File type	Genome annotation	Lab_Accessibility	Lab_H3K27ac	Library crosslinking method_Accessibility	Library crosslinking method_H3K27ac	Library depleted in_Accessibility	Library depleted in_H3K27ac	Library extraction method_Accessibility	Library extraction method_H3K27ac	Library fragmentation method_Accessibility	Library fragmentation method_H3K27ac	Library lysis method_Accessibility	Library lysis method_H3K27ac	Library made from_Accessibility	Library made from_H3K27ac	Library size range_Accessibility	Library size range_H3K27ac	Library strand specific_Accessibility	Library strand specific_H3K27ac	Mapped read length_Accessibility	Mapped read length_H3K27ac	Output type	Paired end_Accessibility	Paired end_H3K27ac	Paired with_Accessibility	Paired with_H3K27ac	Platform_Accessibility	Platform_H3K27ac	Project_Accessibility	Project_H3K27ac	RBNS protein concentration_Accessibility	RBNS protein concentration_H3K27ac	Read length_Accessibility	Read length_H3K27ac	Run type_Accessibility	Run type_H3K27ac	Size_Accessibility	Size_H3K27ac	Technical replicate_Accessibility	Technical replicate_H3K27ac	dbxrefs_Accessibility	dbxrefs_H3K27ac	md5sum_Accessibility	md5sum_H3K27ac	s3_uri_Accessibility	s3_uri_H3K27ac
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF044OTP, ENCFF502JHP, ENCFF549HLL	ENCFF628GCG, ENCFF807MUK, ENCFF964NOS	ENCSR246PXX	ENCSR133NBJ	2013-07-31	2016-11-03	0.0	H3K27ac-human	s3://encode-public/2017/09/19/fe2a2f58-7d06-4bcb-813a-a458e9decb85/ENCFF138LGZ.bam	s3://encode-public/2016/10/31/d60bf824-42a3-4346-85fd-9c965aa2b670/ENCFF161JBL.bam	ENCFF138LGZ	ENCFF161JBL	hg19	hg19	https://www.encodeproject.org/files/ENCFF138LGZ/@@download/ENCFF138LGZ.bam	https://www.encodeproject.org/files/ENCFF161JBL/@@download/ENCFF161JBL.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2942143686	1703063308	0.0	0.0	0.0	0.0	36c93c757e4fd828d69557b1d32fd6a0	664113aa5e2e29434e78893b94545b55	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	UBERON:0000945	UBERON:0000945	stomach	0.0	0.0	0.0	tissue	tissue	released	released	ENCFF002DUL, ENCFF002DUM, ENCFF002DUN, ENCFF002DUO, ENCFF002DUQ, ENCFF002DUS, ENCFF549HLL	ENCFF628GCG, ENCFF807MUK, ENCFF964NOS	ENCSR095GWE	ENCSR133NBJ	2016-09-22	2016-11-03	0.0	H3K27ac-human	s3://encode-public/2017/09/10/9b871cc3-981f-420b-b0c0-04a0a18f136a/ENCFF982MNF.bam	s3://encode-public/2016/10/31/d60bf824-42a3-4346-85fd-9c965aa2b670/ENCFF161JBL.bam	ENCFF982MNF	ENCFF161JBL	hg19	hg19	https://www.encodeproject.org/files/ENCFF982MNF/@@download/ENCFF982MNF.bam	https://www.encodeproject.org/files/ENCFF161JBL/@@download/ENCFF161JBL.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	76.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	paired-ended	single-ended	19935074192	1703063308	0.0	0.0	0.0	0.0	47a01dcccd891457c2ed972820880738	664113aa5e2e29434e78893b94545b55	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF000TBT, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000ELH	ENCSR000ALK	2011-04-19	2011-02-10	0.0	H3K27ac-human	s3://encode-public/2017/10/05/2032d3e1-5a81-466b-8e72-d0e0edb34fdf/ENCFF059RAC.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam	ENCFF059RAC	ENCFF582URB	hg19	hg19	https://www.encodeproject.org/files/ENCFF059RAC/@@download/ENCFF059RAC.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	20.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	1106893266	498330399	0.0	0.0	0.0	0.0	e2fe7a6c1622b5282234587d6b00d19d	3ffab46a12bc708d6af52d1f23fecf20	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000312	CL:0000312	keratinocyte	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF001ECX, ENCFF549HLL	ENCFF000CNL, ENCFF807MUK	ENCSR000EPQ	ENCSR000ALK	2011-05-04	2011-02-10	0.0	H3K27ac-human	s3://encode-public/2017/09/05/36876c1b-732e-48e1-a71d-f9341a5e9ee5/ENCFF612SRN.bam	s3://encode-public/2017/04/04/87280359-ca19-4ea0-b6f3-71291d4122e7/ENCFF582URB.bam	ENCFF612SRN	ENCFF582URB	hg19	hg19	https://www.encodeproject.org/files/ENCFF612SRN/@@download/ENCFF612SRN.bam	https://www.encodeproject.org/files/ENCFF582URB/@@download/ENCFF582URB.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2367400564	498330399	0.0	0.0	0.0	0.0	4657182b692abc1235f64da362ab7153	3ffab46a12bc708d6af52d1f23fecf20	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000623	CL:0000623	natural killer cell	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF137TAG, ENCFF215HOZ, ENCFF384FJC, ENCFF423GQM, ENCFF549HLL, ENCFF721PPR, ENCFF773JXH	ENCFF002LAJ, ENCFF612WYS, ENCFF807MUK	ENCSR704HNG	ENCSR391EQV	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/12/08/499cd545-18d1-452d-b6fc-bc157ea86e19/ENCFF956HAU.bam	s3://encode-public/2016/12/19/feb77f46-4d83-4648-9b75-dc038e6f0ef4/ENCFF109OGO.bam	ENCFF956HAU	ENCFF109OGO	hg19	hg19	https://www.encodeproject.org/files/ENCFF956HAU/@@download/ENCFF956HAU.bam	https://www.encodeproject.org/files/ENCFF109OGO/@@download/ENCFF109OGO.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	101.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	49517907262	1978158749	0.0	0.0	0.0	0.0	9c5c5b8e07b86aab5a7adb5654e5e1f6	bf828d5d1e16ea3d2229255007ee346e	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0002231	CL:0002231	epithelial cell of prostate	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF001EDY, ENCFF001EDZ, ENCFF549HLL	ENCFF036JGO, ENCFF052SOO, ENCFF807MUK	ENCSR000EPU	ENCSR910PDW	2011-10-19	2017-03-03	0.0	H3K27ac-human	s3://encode-public/2017/09/05/281b3532-a693-495a-b2c0-41e02f204e07/ENCFF291WWF.bam	s3://encode-public/2017/03/01/58cfc0e9-c0d7-432a-9a78-9815fa3f4e2d/ENCFF409DBJ.bam	ENCFF291WWF	ENCFF409DBJ	hg19	hg19	https://www.encodeproject.org/files/ENCFF291WWF/@@download/ENCFF291WWF.bam	https://www.encodeproject.org/files/ENCFF409DBJ/@@download/ENCFF409DBJ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	100.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	paired-ended	2065893769	6717231275	0.0	0.0	0.0	0.0	f8ef3d5361b7d00b97d8751723a0e976	b362b3a4b8c294f7010f6c1644ac8e09	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0002231	CL:0002231	epithelial cell of prostate	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF001EEA, ENCFF001EEB, ENCFF549HLL	ENCFF036JGO, ENCFF052SOO, ENCFF807MUK	ENCSR000EPU	ENCSR910PDW	2011-10-19	2017-03-03	0.0	H3K27ac-human	s3://encode-public/2017/09/05/1af31e55-375f-4ad0-9c48-85c69a0dd6ba/ENCFF469NGM.bam	s3://encode-public/2017/03/01/58cfc0e9-c0d7-432a-9a78-9815fa3f4e2d/ENCFF409DBJ.bam	ENCFF469NGM	ENCFF409DBJ	hg19	hg19	https://www.encodeproject.org/files/ENCFF469NGM/@@download/ENCFF469NGM.bam	https://www.encodeproject.org/files/ENCFF409DBJ/@@download/ENCFF409DBJ.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	100.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	paired-ended	2118584149	6717231275	0.0	0.0	0.0	0.0	a68d9955cd11c3f09d6c64849b847d89	b362b3a4b8c294f7010f6c1644ac8e09	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	EFO:0002067	EFO:0002067	K562	0.0	0.0	0.0	cell line	cell line	released	released	ENCFF000SWU, ENCFF549HLL	ENCFF000BXG, ENCFF807MUK	ENCSR000EKS	ENCSR000AKP	2011-04-19	2011-02-10	0.0	H3K27ac-human	s3://encode-public/2017/10/04/8840f405-c4a5-4411-bbb6-dee8d05cba5e/ENCFF892YSD.bam	s3://encode-public/2017/04/04/4b954bab-e58d-496f-b99c-bbb86aa9e4b2/ENCFF992MUX.bam	ENCFF892YSD	ENCFF992MUX	hg19	hg19	https://www.encodeproject.org/files/ENCFF892YSD/@@download/ENCFF892YSD.bam	https://www.encodeproject.org/files/ENCFF992MUX/@@download/ENCFF992MUX.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	50.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	3978715143	624072290	0.0	0.0	0.0	0.0	ac5e5698f163225d906cfe5d4972ac8f	ab7948c603fb30ece69d2b75df4b72df	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0001059	CL:0001059	common myeloid progenitor, CD34-positive	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF275TIX, ENCFF306MQP, ENCFF549HLL, ENCFF880ECR	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	ENCSR564TUY	ENCSR891KSP	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/09/19/cb72283c-6265-4eea-9141-7ae372281ab7/ENCFF931KUF.bam	s3://encode-public/2016/12/19/9f69ba3e-347b-4a83-acde-8c72576204da/ENCFF247VQS.bam	ENCFF931KUF	ENCFF247VQS	hg19	hg19	https://www.encodeproject.org/files/ENCFF931KUF/@@download/ENCFF931KUF.bam	https://www.encodeproject.org/files/ENCFF247VQS/@@download/ENCFF247VQS.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	2728504357	1326993371	0.0	0.0	0.0	0.0	ecf26f328ecc9849d594ad168585c671	5201066485c2111fa2d4915c08c06b20	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0001059	CL:0001059	common myeloid progenitor, CD34-positive	0.0	0.0	0.0	primary cell	primary cell	released	released	ENCFF164DKI, ENCFF549HLL, ENCFF776EIK	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	ENCSR122VUW	ENCSR891KSP	2013-07-31	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/10/05/5ccf108a-b584-4534-a0ec-ca54cc77e32e/ENCFF098LMK.bam	s3://encode-public/2016/12/19/9f69ba3e-347b-4a83-acde-8c72576204da/ENCFF247VQS.bam	ENCFF098LMK	ENCFF247VQS	hg19	hg19	https://www.encodeproject.org/files/ENCFF098LMK/@@download/ENCFF098LMK.bam	https://www.encodeproject.org/files/ENCFF247VQS/@@download/ENCFF247VQS.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	Roadmap	Roadmap	0.0	0.0	0.0	0.0	single-ended	single-ended	1753642166	1326993371	0.0	0.0	0.0	0.0	28846a4a3c7cd15dcf85c32dca948536	5201066485c2111fa2d4915c08c06b20	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000351	CL:0000351	trophoblast cell	0.0	0.0	0.0	primary cell	in vitro differentiated cells	released	released	ENCFF219IRB, ENCFF290TEN, ENCFF442OAX, ENCFF519VRP, ENCFF549HLL, ENCFF883LZW, ENCFF917VQR	ENCFF710QVF, ENCFF807MUK	ENCSR809LCE	ENCSR425PQI	2016-05-09	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/09/05/36dcf87e-877a-4c1b-bcc5-9d5797e9677a/ENCFF109BKD.bam	s3://encode-public/2016/12/19/fdc38d44-3dfb-4ec0-bb56-c2441df89068/ENCFF433JWY.bam	ENCFF109BKD	ENCFF433JWY	hg19	hg19	https://www.encodeproject.org/files/ENCFF109BKD/@@download/ENCFF109BKD.bam	https://www.encodeproject.org/files/ENCFF433JWY/@@download/ENCFF433JWY.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	8467711945	1220778978	0.0	0.0	0.0	0.0	18b3c11bf3807dec6775ee5816824551	d1d2a2be015d555a4bd4f13863fef266	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000351	CL:0000351	trophoblast cell	0.0	0.0	0.0	primary cell	in vitro differentiated cells	released	released	ENCFF164WWH, ENCFF206TIR, ENCFF208ADZ, ENCFF317WNK, ENCFF355PVN, ENCFF549HLL, ENCFF778VRG	ENCFF710QVF, ENCFF807MUK	ENCSR121ZSL	ENCSR425PQI	2016-05-09	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/09/12/1fc6a581-b4dc-4caf-8281-23d097f72389/ENCFF952XFA.bam	s3://encode-public/2016/12/19/fdc38d44-3dfb-4ec0-bb56-c2441df89068/ENCFF433JWY.bam	ENCFF952XFA	ENCFF433JWY	hg19	hg19	https://www.encodeproject.org/files/ENCFF952XFA/@@download/ENCFF952XFA.bam	https://www.encodeproject.org/files/ENCFF433JWY/@@download/ENCFF433JWY.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	7384332142	1220778978	0.0	0.0	0.0	0.0	55d4d0a4a5fee2b32f05e2b190ae7dfe	d1d2a2be015d555a4bd4f13863fef266	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000182	CL:0000182	hepatocyte	0.0	0.0	0.0	primary cell	in vitro differentiated cells	released	released	ENCFF000SQQ, ENCFF549HLL	ENCFF778YPM, ENCFF807MUK	ENCSR000EJU	ENCSR507UDH	2011-04-19	2016-05-20	0.0	H3K27ac-human	s3://encode-public/2017/10/03/08e6c710-aaf5-4813-a1db-eb7cd5eb8728/ENCFF338XIK.bam	s3://encode-public/2016/10/12/3090d1ec-3984-4aae-8dd7-38691bdaf19a/ENCFF494JNN.bam	ENCFF338XIK	ENCFF494JNN	hg19	hg19	https://www.encodeproject.org/files/ENCFF338XIK/@@download/ENCFF338XIK.bam	https://www.encodeproject.org/files/ENCFF494JNN/@@download/ENCFF494JNN.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	74.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	single-ended	single-ended	2075612427	2699163088	0.0	0.0	0.0	0.0	66f43997a031054ad275a6ebdae27789	da9610f882ec7d3b1bb50e43a9c4328c	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000182	CL:0000182	hepatocyte	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	released	released	ENCFF013EWP, ENCFF326QAT, ENCFF549HLL, ENCFF717SDM, ENCFF940ZEI	ENCFF778YPM, ENCFF807MUK	ENCSR364MFN	ENCSR507UDH	2016-06-14	2016-05-20	0.0	H3K27ac-human	s3://encode-public/2018/01/23/02cf54cc-f324-4859-ab8e-b568e801650d/ENCFF854ZNK.bam	s3://encode-public/2016/10/12/3090d1ec-3984-4aae-8dd7-38691bdaf19a/ENCFF494JNN.bam	ENCFF854ZNK	ENCFF494JNN	hg19	hg19	https://www.encodeproject.org/files/ENCFF854ZNK/@@download/ENCFF854ZNK.bam	https://www.encodeproject.org/files/ENCFF494JNN/@@download/ENCFF494JNN.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	74.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	ENCODE	0.0	0.0	0.0	0.0	paired-ended	single-ended	10779348616	2699163088	0.0	0.0	0.0	0.0	a50c571612f7164acc1cf95d6c4e4bad	da9610f882ec7d3b1bb50e43a9c4328c	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	released	released	ENCFF099UXO, ENCFF282WAV, ENCFF549HLL, ENCFF602VMH, ENCFF667SWK	ENCFF622OAL, ENCFF807MUK, ENCFF878IZP	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/12/05/0a9e4dc8-eae6-4822-8b9a-ef5624ab08cc/ENCFF106NQV.bam	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	ENCFF106NQV	ENCFF861XCF	hg19	hg19	https://www.encodeproject.org/files/ENCFF106NQV/@@download/ENCFF106NQV.bam	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	9456933337	1490147881	0.0	0.0	0.0	0.0	8fc26a88f7cbc224f3aaf0d2de667d01	5dec745d9f93d2dc0afdb94229282e4c	0.0	0.0
DNase-seq	ChIP-seq	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Homo sapiens	CL:0000223	CL:0000223	endodermal cell	0.0	0.0	0.0	in vitro differentiated cells	in vitro differentiated cells	released	released	ENCFF097SKE, ENCFF296YPN, ENCFF545TKW, ENCFF549HLL, ENCFF754PQR	ENCFF622OAL, ENCFF807MUK, ENCFF878IZP	ENCSR166KPV	ENCSR200ETW	2017-12-13	2013-07-31	0.0	H3K27ac-human	s3://encode-public/2017/12/05/64997bd8-1af3-4743-8ddf-bb4c9ad57960/ENCFF066OAF.bam	s3://encode-public/2016/12/19/0f70e3f6-0416-4753-bbad-a6e779c74ce9/ENCFF861XCF.bam	ENCFF066OAF	ENCFF861XCF	hg19	hg19	https://www.encodeproject.org/files/ENCFF066OAF/@@download/ENCFF066OAF.bam	https://www.encodeproject.org/files/ENCFF861XCF/@@download/ENCFF861XCF.bam	bam	0.0	0.0	bam	0.0	ENCODE Processing Pipeline	ENCODE Processing Pipeline	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	DNA	DNA	0.0	0.0	0.0	0.0	36.0	36.0	unfiltered alignments	0.0	0.0	0.0	0.0	0.0	0.0	ENCODE	Roadmap	0.0	0.0	0.0	0.0	paired-ended	single-ended	16730952638	1490147881	0.0	0.0	0.0	0.0	c28e022e5dcf98cf4e756a9eedf174cd	5dec745d9f93d2dc0afdb94229282e4c	0.0	0.0
