enh_class	quantile	rank	H3K27ac.RPM	DHS.RPM
promoter	0.40000	16939.00000	0.30708	0.54744
promoter	0.41000	16656.00000	0.40944	0.59810
promoter	0.42000	16374.00000	0.40945	0.64876
promoter	0.43000	16092.00000	0.40945	0.71114
promoter	0.44000	15809.00000	0.51181	0.76180
promoter	0.45000	15527.00000	0.51181	0.83175
promoter	0.46000	15245.00000	0.61417	0.90169
promoter	0.47000	14962.00000	0.61417	0.97163
promoter	0.48000	14680.00000	0.71653	1.05329
promoter	0.49000	14398.00000	0.81889	1.13080
promoter	0.50000	14116.00000	0.81889	1.21699
promoter	0.51000	13833.00000	0.92125	1.29147
promoter	0.52000	13551.00000	1.02361	1.37616
promoter	0.53000	13269.00000	1.12597	1.46840
promoter	0.54000	12986.00000	1.33070	1.57721
promoter	0.55000	12704.00000	1.43306	1.68883
promoter	0.56000	12422.00000	1.63778	1.80935
promoter	0.57000	12139.00000	1.74014	1.94039
promoter	0.58000	11857.00000	1.88345	2.05328
promoter	0.59000	11575.00000	2.04722	2.20639
promoter	0.60000	11292.00000	2.25195	2.35950
promoter	0.61000	11010.00000	2.45667	2.52820
promoter	0.62000	10728.00000	2.66139	2.68125
promoter	0.63000	10445.00000	2.86611	2.85818
promoter	0.64000	10163.00000	3.07083	3.05447
promoter	0.65000	9881.00000	3.27556	3.26724
promoter	0.66000	9599.00000	3.48028	3.48553
promoter	0.67000	9316.00000	3.68500	3.75987
promoter	0.68000	9034.00000	3.88972	4.00341
promoter	0.69000	8752.00000	4.09445	4.26790
promoter	0.70000	8469.00000	4.40153	4.52016
promoter	0.71000	8187.00000	4.60625	4.81664
promoter	0.72000	7905.00000	4.91334	5.10767
promoter	0.73000	7622.00000	5.11806	5.46894
promoter	0.74000	7340.00000	5.42514	5.78350
promoter	0.75000	7058.00000	5.73222	6.15586
promoter	0.76000	6775.00000	6.14167	6.54500
promoter	0.77000	6493.00000	6.44875	6.91841
promoter	0.78000	6211.00000	6.75584	7.36033
promoter	0.79000	5929.00000	7.16528	7.81325
promoter	0.80000	5646.00000	7.57473	8.27398
promoter	0.81000	5364.00000	8.08653	8.78549
promoter	0.82000	5082.00000	8.49598	9.25974
promoter	0.83000	4799.00000	9.00778	9.79351
promoter	0.84000	4517.00000	9.62195	10.37019
promoter	0.85000	4235.00000	10.23612	10.99905
promoter	0.86000	3952.00000	10.74792	11.61109
promoter	0.87000	3670.00000	11.46445	12.33548
promoter	0.88000	3388.00000	12.18098	13.09793
promoter	0.89000	3105.00000	13.10223	14.09223
promoter	0.90000	2823.00000	14.02348	14.95322
promoter	0.91000	2541.00000	14.94473	16.03063
promoter	0.92000	2258.00000	15.96834	17.31980
promoter	0.93000	1976.00000	17.39116	18.70077
promoter	0.94000	1694.00000	19.03918	20.24351
promoter	0.95000	1412.00000	20.98404	21.98225
promoter	0.96000	1129.00000	23.23598	24.24430
promoter	0.97000	847.00000	26.40918	27.08390
promoter	0.98000	565.00000	31.15874	31.34951
promoter	0.99000	282.00000	40.73974	39.78575
promoter	0.99100	254.00000	41.86572	40.87214
promoter	0.99200	226.00000	43.50350	42.24523
promoter	0.99300	198.00000	45.59064	43.99473
promoter	0.99400	169.00000	47.35432	46.48650
promoter	0.99500	141.00000	49.74753	48.79299
promoter	0.99600	113.00000	52.92072	52.60462
promoter	0.99700	85.00000	57.31509	56.30475
promoter	0.99800	56.00000	63.25920	62.46334
promoter	0.99900	28.00000	78.89691	73.18840
promoter	0.99910	25.00000	80.27019	75.25970
promoter	0.99920	23.00000	81.78657	78.25537
promoter	0.99930	20.00000	83.21512	81.57776
promoter	0.99940	17.00000	86.30234	82.03805
promoter	0.99950	14.00000	89.20008	83.62934
promoter	0.99960	11.00000	92.16763	86.09302
promoter	0.99970	8.00000	99.05582	95.49871
promoter	0.99980	6.00000	114.11919	99.66429
promoter	0.99990	3.00000	122.22742	126.11088
nonpromoter	0.01000	132610.00000	0.00000	0.35123
nonpromoter	0.02000	131271.00000	0.00000	0.39432
nonpromoter	0.03000	129932.00000	0.00000	0.41814
nonpromoter	0.04000	128592.00000	0.00000	0.43894
nonpromoter	0.05000	127252.00000	0.00000	0.45670
nonpromoter	0.06000	125913.00000	0.00000	0.46881
nonpromoter	0.07000	124574.00000	0.00000	0.48506
nonpromoter	0.08000	123234.00000	0.00000	0.50131
nonpromoter	0.09000	121894.00000	0.10236	0.50888
nonpromoter	0.10000	120555.00000	0.10236	0.52513
nonpromoter	0.11000	119216.00000	0.10236	0.53270
nonpromoter	0.12000	117876.00000	0.10236	0.54895
nonpromoter	0.13000	116536.00000	0.10236	0.55500
nonpromoter	0.14000	115197.00000	0.10236	0.57126
nonpromoter	0.15000	113858.00000	0.10236	0.57731
nonpromoter	0.16000	112518.00000	0.10236	0.59356
nonpromoter	0.17000	111178.00000	0.10236	0.59961
nonpromoter	0.18000	109839.00000	0.10236	0.61587
nonpromoter	0.19000	108500.00000	0.10236	0.62343
nonpromoter	0.20000	107160.00000	0.20472	0.63968
nonpromoter	0.21000	105820.00000	0.20472	0.64725
nonpromoter	0.22000	104481.00000	0.20472	0.66350
nonpromoter	0.23000	103142.00000	0.20472	0.67107
nonpromoter	0.24000	101802.00000	0.20472	0.68884
nonpromoter	0.25000	100462.00000	0.20472	0.69640
nonpromoter	0.26000	99123.00000	0.20472	0.71265
nonpromoter	0.27000	97784.00000	0.20472	0.72891
nonpromoter	0.28000	96444.00000	0.20472	0.73950
nonpromoter	0.29000	95104.00000	0.20472	0.75726
nonpromoter	0.30000	93765.00000	0.20472	0.76786
nonpromoter	0.31000	92426.00000	0.30708	0.78411
nonpromoter	0.32000	91086.00000	0.30708	0.80339
nonpromoter	0.33000	89746.00000	0.30708	0.81813
nonpromoter	0.34000	88407.00000	0.30708	0.83175
nonpromoter	0.35000	87067.00000	0.30708	0.85254
nonpromoter	0.36000	85728.00000	0.30708	0.87182
nonpromoter	0.37000	84388.00000	0.30708	0.88544
nonpromoter	0.38000	83049.00000	0.30708	0.90169
nonpromoter	0.39000	81710.00000	0.30708	0.92248
nonpromoter	0.40000	80370.00000	0.30708	0.94327
nonpromoter	0.41000	79030.00000	0.40944	0.96558
nonpromoter	0.42000	77691.00000	0.40945	0.98637
nonpromoter	0.43000	76352.00000	0.40945	1.00565
nonpromoter	0.44000	75012.00000	0.40945	1.02835
nonpromoter	0.45000	73672.00000	0.40945	1.05177
nonpromoter	0.46000	72333.00000	0.40945	1.06993
nonpromoter	0.47000	70994.00000	0.40945	1.09375
nonpromoter	0.48000	69654.00000	0.40945	1.11757
nonpromoter	0.49000	68314.00000	0.51181	1.14402
nonpromoter	0.50000	66975.00000	0.51181	1.16784
nonpromoter	0.51000	65636.00000	0.51181	1.19620
nonpromoter	0.52000	64296.00000	0.51181	1.22153
nonpromoter	0.53000	62956.00000	0.51181	1.24989
nonpromoter	0.54000	61617.00000	0.51181	1.28088
nonpromoter	0.55000	60277.00000	0.61417	1.30924
nonpromoter	0.56000	58938.00000	0.61417	1.33911
nonpromoter	0.57000	57598.00000	0.61417	1.37767
nonpromoter	0.58000	56259.00000	0.61417	1.40905
nonpromoter	0.59000	54920.00000	0.61417	1.44761
nonpromoter	0.60000	53580.00000	0.71653	1.48202
nonpromoter	0.61000	52240.00000	0.71653	1.52058
nonpromoter	0.62000	50901.00000	0.71653	1.56368
nonpromoter	0.63000	49562.00000	0.71653	1.60678
nonpromoter	0.64000	48222.00000	0.81889	1.65441
nonpromoter	0.65000	46882.00000	0.81889	1.70357
nonpromoter	0.66000	45543.00000	0.81889	1.75272
nonpromoter	0.67000	44203.00000	0.92125	1.80338
nonpromoter	0.68000	42864.00000	0.92125	1.86122
nonpromoter	0.69000	41524.00000	0.92125	1.92096
nonpromoter	0.70000	40185.00000	1.02361	1.98334
nonpromoter	0.71000	38845.00000	1.02361	2.05025
nonpromoter	0.72000	37506.00000	1.12597	2.12322
nonpromoter	0.73000	36166.00000	1.12597	2.20034
nonpromoter	0.74000	34827.00000	1.22833	2.28390
nonpromoter	0.75000	33488.00000	1.22833	2.37615
nonpromoter	0.76000	32148.00000	1.33070	2.47142
nonpromoter	0.77000	30808.00000	1.43306	2.57236
nonpromoter	0.78000	29469.00000	1.53542	2.67822
nonpromoter	0.79000	28129.00000	1.63778	2.79995
nonpromoter	0.80000	26790.00000	1.63778	2.92510
nonpromoter	0.81000	25450.00000	1.74014	3.06347
nonpromoter	0.82000	24111.00000	1.94486	3.21809
nonpromoter	0.83000	22771.00000	2.04722	3.39200
nonpromoter	0.84000	21432.00000	2.14958	3.57840
nonpromoter	0.85000	20093.00000	2.35431	3.78066
nonpromoter	0.86000	18753.00000	2.55903	4.00826
nonpromoter	0.87000	17414.00000	2.76375	4.26118
nonpromoter	0.88000	16074.00000	2.96847	4.55120
nonpromoter	0.89000	14734.00000	3.27556	4.86231
nonpromoter	0.90000	13395.00000	3.58264	5.22373
nonpromoter	0.91000	12055.00000	3.99209	5.63757
nonpromoter	0.92000	10716.00000	4.40153	6.13753
nonpromoter	0.93000	9376.00000	5.01570	6.73826
nonpromoter	0.94000	8037.00000	5.62986	7.46877
nonpromoter	0.95000	6697.00000	6.55112	8.41671
nonpromoter	0.96000	5358.00000	7.67709	9.63046
nonpromoter	0.97000	4019.00000	9.31487	11.27871
nonpromoter	0.98000	2679.00000	11.77153	13.70828
nonpromoter	0.99000	1340.00000	16.68487	18.50294
nonpromoter	0.99100	1206.00000	17.40140	19.23849
nonpromoter	0.99200	1072.00000	18.32265	20.10327
nonpromoter	0.99300	938.00000	19.34626	21.15335
nonpromoter	0.99400	804.00000	20.57459	22.32415
nonpromoter	0.99500	670.00000	21.93139	23.65114
nonpromoter	0.99600	536.00000	24.15724	25.48184
nonpromoter	0.99700	402.00000	27.12571	28.10527
nonpromoter	0.99800	268.00000	31.22015	31.54937
nonpromoter	0.99900	134.00000	40.12558	38.71006
nonpromoter	0.99910	121.00000	41.04683	40.52828
nonpromoter	0.99920	107.00000	42.36123	41.14757
nonpromoter	0.99930	94.00000	43.78060	42.54247
nonpromoter	0.99940	80.00000	46.33180	43.77961
nonpromoter	0.99950	67.00000	48.00739	45.55490
nonpromoter	0.99960	54.00000	49.68820	48.40212
nonpromoter	0.99970	40.00000	53.72071	59.06826
nonpromoter	0.99980	27.00000	61.78833	68.56643
nonpromoter	0.99990	13.00000	70.28431	94.64760
